업소명,소재지(도로명),소재지(지번),소재지전화
신선횟집,부산광역시 연제구 고분로20번길 15 (연산동),부산광역시 연제구 연산동 637번지 18호  ,051 -866 -0209
신촌막걸리포차,부산광역시 연제구 신촌로 22-1 (연산동),부산광역시 연제구 연산동 1495번지 9호  ,051 -866 -7892
할매손 푸드,"부산광역시 연제구 월드컵대로58번길 56, 1층 (연산동)",부산광역시 연제구 연산동 658번지 27호  ,
난카츠난우동,부산광역시 연제구 연수로 89 (연산동),부산광역시 연제구 연산동 822번지 7호  ,
차이나가든(CHINA GARDEN),부산광역시 연제구 연수로 89 (연산동),부산광역시 연제구 연산동 822번지 7호  ,
육해밥,부산광역시 연제구 연수로 89 (연산동),부산광역시 연제구 연산동 822번지 7호  ,
구어조은닭,부산광역시 연제구 금련로 21-1 (연산동),부산광역시 연제구 연산동 1811번지 130호  ,051 -852 -9293
소다참치,부산광역시 연제구 중앙대로1039번길 16 (연산동),부산광역시 연제구 연산동 1357번지 14호  ,051 -861 -8585
바오담은갈비,"부산광역시 연제구 중앙대로 1068, 1,2,3층 (연산동)",부산광역시 연제구 연산동 703번지 9호  ,
화신국밥,부산광역시 연제구 아시아드대로64번길 20-4 (거제동),부산광역시 연제구 거제동 987번지 1호  ,051 -503 -5741
맛보고게낙찜,부산광역시 연제구 연동로7번길 5 (연산동),부산광역시 연제구 연산동 342번지 4호  ,
삼겹대장 돈삼이,"부산광역시 연제구 온천천남로 88, 1층 (연산동)",부산광역시 연제구 연산동 386번지 31호  ,
미니통통,"부산광역시 연제구 고분로143번길 11, 1층 (연산동)",부산광역시 연제구 연산동 374번지 59호  ,
일촌닭갈비,"부산광역시 연제구 신촌로 34, 1층 (연산동)",부산광역시 연제구 연산동 1499번지 17호  ,
GRAY701(그레이701),부산광역시 연제구 거제천로104번길 12 (연산동),부산광역시 연제구 연산동 1505번지 1호  ,
바푸리 숯불김밥,"부산광역시 연제구 중앙대로 1111, 1층 103,103-1호 (연산동, 위드타워)",부산광역시 연제구 연산동 1126번지 6호  ,
해왕숯불장어구이,"부산광역시 연제구 고분로 7-1, 1층 (연산동)",부산광역시 연제구 연산동 730번지 2호  ,051 -939 -8989
엄마 밥 생각,"부산광역시 연제구 월드컵대로111번길 6-16, A동 1층 16,17,24,74호 (연산동)",부산광역시 연제구 연산동 709번지 17호  ,
닭주세요,"부산광역시 연제구 거제시장로22번길 23, 101호 (거제동, 세경미가)",부산광역시 연제구 거제동 576번지 12호 세경미가 101호,051 -867 -9253
부아로이,"부산광역시 연제구 신촌로23번길 43, 1층 (연산동)",부산광역시 연제구 연산동 1371번지 2호  ,
비비큐(BBQ)치킨연산로타리점,부산광역시 연제구 중앙대로 1184 (거제동),부산광역시 연제구 거제동 1469번지 3호  ,
홍반장 영덕물회,"부산광역시 연제구 금련로 8, 1층 (연산동)",부산광역시 연제구 연산동 1811번지 219호  ,
쇼부,"부산광역시 연제구 안연로8번길 60, 1층 (연산동)",부산광역시 연제구 연산동 400번지 17호  ,
족발회관,부산광역시 연제구 신촌로 44 (거제동),부산광역시 연제구 거제동 41번지 29호  ,
삼파통닭,부산광역시 연제구 거제천로118번길 7 (연산동),부산광역시 연제구 연산동 1479번지 26호  ,
시장횟집,"부산광역시 연제구 연수로 135, 1층 (연산동)",부산광역시 연제구 연산동 1953번지 1호  ,
귀족족발,"부산광역시 연제구 연수로 135, 1층 (연산동)",부산광역시 연제구 연산동 1953번지 1호  ,
치킨신드룸,"부산광역시 연제구 중앙대로1150번길 50-1, 1층 (연산동)",부산광역시 연제구 연산동 585번지 51호  ,
즐겨찾기,"부산광역시 연제구 고분로 140, 다동 1층 111호 (연산동)",부산광역시 연제구 연산동 1092번지  ,
빈체로,"부산광역시 연제구 과정로 317, 2층 (연산동)",부산광역시 연제구 연산동 312번지 16호  ,
대박집,"부산광역시 연제구 중앙천로2번길 13, 1층 (연산동)",부산광역시 연제구 연산동 788번지 31호  ,051 -852 -9232
마루양곱창(연산점),부산광역시 연제구 월드컵대로165번길 92 (연산동),부산광역시 연제구 연산동 1499번지 9호  ,051 -867 -0111
탭하우스,"부산광역시 연제구 쌍미천로 179-1, 1층 (연산동)",부산광역시 연제구 연산동 615번지 144호  ,
밥이랑 돈이랑,"부산광역시 연제구 월드컵대로58번길 64, 1층 (연산동)",부산광역시 연제구 연산동 658번지 43호  ,
오공복이(시청점),부산광역시 연제구 거제천로104번길 5 (연산동),부산광역시 연제구 연산동 1500번지 31호  ,051 -926 -0820
스완,"부산광역시 연제구 쌍미천로161번길 25, 5층 (연산동)",부산광역시 연제구 연산동 620번지 22호  ,
남도식당,"부산광역시 연제구 고분로32번길 73, 1층 (연산동)",부산광역시 연제구 연산동 650번지 5호  ,051 -851 -5589
도돈지,"부산광역시 연제구 거제천로258번길 47, 1층 (연산동)",부산광역시 연제구 연산동 583번지 8호  ,
구구닥,"부산광역시 연제구 거제천로 136-1 (연산동, 101호)",부산광역시 연제구 연산동 1291번지 35호 101호 ,051 -853 -9392
ANAS(아나스),부산광역시 연제구 온천천공원길 38-4 (거제동),부산광역시 연제구 거제동 1465번지 26호  ,051 -861 -1225
GEN YA(겐야),"부산광역시 연제구 과정로226번길 8, 2층 (연산동)",부산광역시 연제구 연산동 400번지 40호  ,
60계,"부산광역시 연제구 안연로 33, A동 1층 111호 (연산동)",부산광역시 연제구 연산동 2311번지  ,
두리네밥도둑,부산광역시 연제구 월드컵대로91번길 15 (연산동),부산광역시 연제구 연산동 717번지 44호  ,051 -851 -9907
족두대장,"부산광역시 연제구 과정로 328, 1층 (연산동)",부산광역시 연제구 연산동 307번지 32호  ,
대패가1900 연산점,"부산광역시 연제구 월드컵대로58번길 29, 1층 (연산동)",부산광역시 연제구 연산동 656번지 24호  ,
전야제,부산광역시 연제구 거제천로 55 (거제동),부산광역시 연제구 거제동 495번지 33호  ,
구버구버행복한갈비,"부산광역시 연제구 안연로 22, 1,2층 (연산동)",부산광역시 연제구 연산동 392번지 34호  ,
수제왕꼬치 엉뚱한상상,부산광역시 연제구 거제천로 115 (거제동),부산광역시 연제구 거제동 41번지 7호  ,
행복한갈비,"부산광역시 연제구 안연로 20-1, 1층 (연산동)",부산광역시 연제구 연산동 392번지 29호  ,
한성집 부산시청점,부산광역시 연제구 시청로32번길 16-1 (연산동),부산광역시 연제구 연산동 1503번지 23호  ,
꼴목안집,"부산광역시 연제구 고분로13번길 72-2, 1층 (연산동)",부산광역시 연제구 연산동 615번지 60호  ,
남매횟집,"부산광역시 연제구 월드컵대로114번길 23, 1층 (연산동)",부산광역시 연제구 연산동 731번지 15호  ,
메차쿠차 돈가스,"부산광역시 연제구 과정로 145, 2층 (연산동)",부산광역시 연제구 연산동 479번지 2호  ,
부산갈매기,"부산광역시 연제구 거제천로118번길 29, 1층 (연산동)",부산광역시 연제구 연산동 1480번지 32호  ,
쿠킹부마,"부산광역시 연제구 법원남로15번길 12, 1층 (거제동)",부산광역시 연제구 거제동 1492번지 3호  ,
Sun Set(썬셋),"부산광역시 연제구 반송로 62-18, 1층 (연산동)",부산광역시 연제구 연산동 589번지 25호  ,
수북당,"부산광역시 연제구 거제천로118번길 23, 1층 102호 (연산동, 엔학 미지앙)",부산광역시 연제구 연산동 1480번지 12호  ,
애심쌀국수&보쌈,"부산광역시 연제구 법원로32번길 10, 204호 (거제동)",부산광역시 연제구 거제동 1490번지 2호  204호,051 -515 -1515
산좋고 물좋고 인심좋은 우리나라...집,"부산광역시 연제구 연수로 102, 1층 (연산동)",부산광역시 연제구 연산동 825번지 11호  ,
부근,"부산광역시 연제구 과정로276번길 24, 1층 (연산동)",부산광역시 연제구 연산동 364번지 2호  ,
