,소재지전체주소,소재지,x,y
180,부산광역시 중구 부평동2가 47번지 (지하1층) ,부산광역시 중구 부평동2가 47번지 ,129.0254801,35.09888426
181,"부산광역시 중구 남포동4가 31-1번지 , 31-2번지 (2층) ","부산광역시 중구 남포동4가 31-1번지 , 31-2번지 ",129.0319967,35.09742341
182,"부산광역시 중구 남포동2가 25-10번지 , 4가 1-1번지(6층) ","부산광역시 중구 남포동2가 25-10번지 , 4가 1-1번지",129.0322991,35.09829789
183,부산광역시 중구 부평동2가 25-1번지 (2층) ,부산광역시 중구 부평동2가 25-1번지 ,129.0262957,35.09993762
184,부산광역시 중구 남포동5가 73-2번지 (2층) ,부산광역시 중구 남포동5가 73-2번지 ,129.0300535,35.09759295
185,부산광역시 중구 부평동2가 47-4번지 (1층) ,부산광역시 중구 부평동2가 47-4번지 ,129.0252391,35.09889189
186,부산광역시 중구 남포동6가 26-2번지 지하1층 ,부산광역시 중구 남포동6가 26-2번지 지하1층 ,129.0266317,35.09632369
187,부산광역시 중구 부평동2가 33-6번지 (2층) ,부산광역시 중구 부평동2가 33-6번지 ,129.0258017,35.09929703
188,부산광역시 중구 중앙동4가 78-3번지 (지하1층) ,부산광역시 중구 중앙동4가 78-3번지 ,129.0385421,35.1099876
189,부산광역시 중구 창선동1가 12-1번지 (3층) ,부산광역시 중구 창선동1가 12-1번지 ,129.0295975,35.09972376
190,"부산광역시 중구 동광동2가 10-4번지 ,6 ","부산광역시 중구 동광동2가 10-4번지 ,6 ",129.0347434,35.09976364
191,부산광역시 중구 남포동5가 62-2번지 ,부산광역시 중구 남포동5가 62-2번지 ,129.0302893,35.09790622
192,부산광역시 중구 부평동2가 47-10번지 (3층) ,부산광역시 중구 부평동2가 47-10번지 ,129.025257,35.09872938
193,부산광역시 중구 동광동2가 12-1번지 5 (지하1층) ,부산광역시 중구 동광동2가 12-1번지 5 ,129.0345896,35.10045832
194,부산광역시 중구 부평동3가 25-1번지 ,부산광역시 중구 부평동3가 25-1번지 ,129.0247318,35.10196797
195,부산광역시 중구 남포동2가 25-10번지 (솔레마빌딩 지하1층) ,부산광역시 중구 남포동2가 25-10번지 ,129.0322991,35.09829789
196,부산광역시 중구 부평동1가 35-20번지 (4층) ,부산광역시 중구 부평동1가 35-20번지 ,129.0272752,35.09964007
197,부산광역시 중구 남포동5가 50-1번지 외2필지 ,부산광역시 중구 남포동5가 50-1번지 외2필지 ,129.0292144,35.09771515
198,"부산광역시 중구 부평동4가 21-1번지 ,20-1 ","부산광역시 중구 부평동4가 21-1번지 ,20-1 ",129.0237021,35.10183377
199,"부산광역시 중구 부평동4가 21-1번지 ,20-1 ","부산광역시 중구 부평동4가 21-1번지 ,20-1 ",129.0237021,35.10183377
200,부산광역시 중구 부평동4가 12-1번지 ,부산광역시 중구 부평동4가 12-1번지 ,129.0237117,35.10204269
201,부산광역시 중구 남포동5가 2-6번지 3층 ,부산광역시 중구 남포동5가 2-6번지 3층 ,129.0303577,35.0985395
202,부산광역시 중구 남포동5가 90번지 (2층) ,부산광역시 중구 남포동5가 90번지 ,129.0284934,35.09729105
203,부산광역시 중구 남포동4가 37-1번지 5가 105-1번지 (3층) ,부산광역시 중구 남포동4가 37-1번지 5가 105-1번지 ,129.0311196,35.09672078
204,부산광역시 중구 남포동5가 68-3번지 ,부산광역시 중구 남포동5가 68-3번지 ,129.0303998,35.09758715
205,부산광역시 중구 부평동2가 55-4번지 (2층) ,부산광역시 중구 부평동2가 55-4번지 ,129.0255555,35.09962557
206,부산광역시 중구 부평동1가 40-3번지 (지하1층) ,부산광역시 중구 부평동1가 40-3번지 ,129.0265212,35.09930302
207,부산광역시 중구 부평동1가 31-1번지 (1층) ,부산광역시 중구 부평동1가 31-1번지 ,129.026617,35.10015934
208,부산광역시 중구 부평동4가 20-1번지 ,부산광역시 중구 부평동4가 20-1번지 ,129.0237032,35.10170038
209,부산광역시 중구 부평동2가 24-6번지 (2층) ,부산광역시 중구 부평동2가 24-6번지 ,129.0262083,35.10012652
210,부산광역시 중구 남포동2가 17-1번지 (3층) ,부산광역시 중구 남포동2가 17-1번지 ,129.0312271,35.09893226
211,부산광역시 중구 중앙동4가 81-4번지 (지하1층) ,부산광역시 중구 중앙동4가 81-4번지 ,129.0377446,35.10878983
212,부산광역시 중구 창선동1가 38-9번지 (3층) ,부산광역시 중구 창선동1가 38-9번지 ,129.0307176,35.09908139
213,부산광역시 중구 동광동2가 12-1번지 ,부산광역시 중구 동광동2가 12-1번지 ,129.0345896,35.10045832
214,부산광역시 중구 부평동2가 36-6번지 ,부산광역시 중구 부평동2가 36-6번지 ,129.0261635,35.09867458
215,부산광역시 중구 광복동2가 41번지 (3층) ,부산광역시 중구 광복동2가 41번지 ,129.0319323,35.09889521
216,부산광역시 중구 부평동2가 37-3번지 ,부산광역시 중구 부평동2가 37-3번지 ,129.025883,35.0988595
217,부산광역시 중구 부평동3가 49-7번지 (2층) ,부산광역시 중구 부평동3가 49-7번지 ,129.0247248,35.1004433
218,부산광역시 중구 남포동2가 30-1번지 (2층) ,부산광역시 중구 남포동2가 30-1번지 ,129.0328183,35.09818825
219,부산광역시 중구 광복동1가 21번지 28-2 ,부산광역시 중구 광복동1가 21번지 28-2 ,129.0344984,35.09890623
220,"부산광역시 중구 남포동2가 2-0번지 (광복1가 59-2,60-2) (2층) ",부산광역시 중구 남포동2가 2-0번지 ,129.0337098,35.09805794
221,부산광역시 중구 부평동2가 31번지 지하1층 ,부산광역시 중구 부평동2가 31번지 지하1층 ,129.0262324,35.09932948
222,부산광역시 중구 남포동4가 7번지 2층 ,부산광역시 중구 남포동4가 7번지 2층 ,129.0308933,35.09785284
223,부산광역시 중구 부평동2가 62-2번지 ,부산광역시 중구 부평동2가 62-2번지 ,129.0254116,35.10037054
224,부산광역시 중구 부평동1가 31-3번지 ,부산광역시 중구 부평동1가 31-3번지 ,129.0266861,35.10011853
225,부산광역시 중구 남포동4가 7번지 (5층) ,부산광역시 중구 남포동4가 7번지 ,129.0308933,35.09785284
226,부산광역시 중구 중앙동4가 48-7번지 ,부산광역시 중구 중앙동4가 48-7번지 ,129.034643,35.1059
227,부산광역시 중구 남포동6가 115-5번지 (지하1층) ,부산광역시 중구 남포동6가 115-5번지 ,129.0261902,35.0967384
228,부산광역시 중구 부평동2가 35-6번지 (2층) ,부산광역시 중구 부평동2가 35-6번지 ,129.0258661,35.09906165
229,부산광역시 중구 부평동3가 72-20번지 지1층 ,부산광역시 중구 부평동3가 72-20번지 지1층 ,129.0243115,35.10200022
